#Name	PubChem	MP
5-(4-fluorophenyl)-1h-tetrazole	766140	210
isovaleramide	10930	136
methestrol	71620	145
"1,8-diiodonaphthalene"	633286	106
"1h-pyrrole-2,5-dione"	10935	94
simetride	71622	128
"ethane, 1,2-dibromo-1,1-dichloro-"	6401	-26
"2,4,6-tribromo-m-cresol"	20737	84
"2,6-dibromo-4-methylaniline"	81427	74
1-nitro-4-(trifluoromethoxy)benzene	522405	15
(+-)camphor	2537	176
"4,4'-thiodiphenol"	17570	153
n-acetylpenicillamine	27372	183
"cyclohexane, 1,1'-(1-methyl-1,2-ethanediyl)bis-"	142554	-22
chlortoluron	27375	148.1
"3,5-bis(trifluoromethyl)pyridine"	2778311	37
"napthalene-1,7-diol"	68462	180.5
N-acetyl-dl-alanine	88064	137
"2,2'-(4,6-dinitrobenzene-1,3-diyl)bis(1-phenylethanone)"	2748910	171
"1,6-naphthalenediol"	68463	138
2-amino-4-(trifluoromethyl)pyridine	2778315	73
Triphenylene	9170	197
(2E)-3-[5-(4-Bromophenyl)-2-furyl]-1-(2-furyl)prop-2-en-1-one	2753268	165
buclosamide	68466	91.5
Chrysene	9171	255
methyl_3-hydroxybenzoate	88068	74
(2E)-1-(2-Furyl)-3-[5-(4-nitrophenyl)-2-furyl]prop-2-en-1-one	2753269	187
"2-(5-chloro-2,4-dinitrophenyl)-1-phenylethanone"	2748914	133
"2-(5-chloro-2,4-dinitrophenyl)-1,2-diphenylethanone"	2748916	131
"(1Z)-1-[2-(5-chloro-2,4-dinitrophenyl)-1,2-diphenylethylidene]-2-phenylhydrazine"	2748917	196
"2-(5-chloro-2,4-dinitrophenyl)-1-phenylbutane-1,3-dione"	2748918	131
2-acetylfuran	14505	33
"dibenz[a,j]acridine"	9177	216
"2,4,5-trichlorobenzenesulfonamide"	1241633	189
4-benzyloxy-2-methoxybenzaldehyde	4293990	96
"3-nitro-8-phenyl-4-[(2E)-2-phenyl-2-(phenylhydrazono)ethyl]-7,8,9-triazatricyclo[4.3.0.0~7,9~]nona-1,3,5-triene"	2748919	198
"2h-benzotriazole, 2-cyclopentyl-5-[(methylsulfon"	14638303	126.5
"1,2,4-triazolo[4,3-a]pyridin-3(2h)-one"	81431	234
3-dichlorobenzene	10943	-24.8
cinobufotalin	633297	260.5
ethyl butylsulfide	12528	-95.1
3-methylcarbazole	20746	208.5
7-hydroxy-4-(trifluoromethyl)coumarin	5375667	179
"1,3-propanediol, 2-amino-2-ethyl-"	8282	37.5
isoborneol	6321405	214
"3-diethoxyphosphoryloxy-1,2,3-benzotriazin-4(3h)-one"	4293995	74
zoxazolamine	6103	184.5
D-Leucine	6106	293
cannabinol	2543	77
Pentagastrin	444007	229
p-nitrobenzoic_acid	6108	241
cantharidin	2545	218
tert-butyl peroxybenzoate	11966	7
"2-amino-4,6-dinitrotoluene"	37182	174.5
"benzenemethanol, 4-chloro-.alpha.-phenyl-"	8401	60.75
"1,1,1,2,2,3-hexachloropropane"	182058	26
"1,4-dichloro-2,5-dimethoxybenzene"	17581	134
(2E)-1-(2-Furyl)-3-[5-(4-methylphenyl)-2-furyl]prop-2-en-1-one	2753270	111
(2E)-1-(2-furyl)-3-(5-phenyl-2-furyl)prop-2-en-1-one	2753271	100
(1R)-camphorquinone	641916	200
(2E)-1-phenyl-3-(5-phenyl-2-furyl)prop-2-en-1-one	2753273	80
2-bromo-m-xylene	68471	-10
5-(trifluoromethyl)indole	2763075	69
"2-(5-chloro-2,4-dinitrophenyl)-1H-indene-1,3(2H)-dione"	2748920	185
2-bromomesitylene	68473	2
2-acetylbenzoic_acid	68474	116
N-boc-L-phenylalaninol	2733675	97
benz(c)acridine	9180	132
2-fluoro-3-methoxybenzaldehyde	3774463	49
"benzene, 1-chloro-4-ethoxy-"	69326	21
4-aminoquinoline	68476	154.8
4-aminobenzenethiol	14510	46
"(1Z,1'Z)-1,1'-(4,6-dinitrobenzene-1,3-diyl)bis[1-(phenylimino)propan-2-one]"	2748923	175
"1,1'-(4,6-dinitrobenzene-1,3-diyl)dipropane-1,2-dione"	2748924	119
"benzenesulfonamide, 4-(4-hydroxybutyl)-"	15707361	78.5
"dibenz(a,h)acridine"	9183	226
"2,2'-(4,6-dinitrobenzene-1,3-diyl)bis(3-methylquinoxaline)"	2748925	239
"1,1'-(1,7-diphenyl-1,7-dihydropyrazolo[4,3-f]indazole-3,5-diyl)diethanone"	2748928	311
"1',3',3'-trimethyl-6-nitroindolene-2-spiro-2-ben"	99766	179.5
chlorocyclohexane	10952	-44
delta-valerolactone	10953	-13
phenanthridine	9189	107.4
"6-chloro-1,3-dimethyluracil"	81442	110
1-methyl-3-phenylpiperazine	2760009	58
14-heptacosanone	10955	77.5
2-methoxy-5-methylphenol	14519	37
"4,5-dimethyl-2-nitroaniline"	81445	141
2-hydroxy-4-methoxy-4'-methylbenzophenone	71645	99
"silane, chlorodimethyl-"	66108	-111
captopril	2550	106
7-methyl-2-benzofuran-1(3H)-one	638757	86
4-chloro-6-(1-piperidinyl)pyrimidine	597870	79
Carbachol	2551	210
aniline	6115	-6.3
"ac 94,377"	93267	194
"heptane, 1,7-dibromo-"	78309	41.7
"3,5-dihydroxyanisole"	71648	80.3
carbadox	2553	240
2-(4-fluorophenyl)indole	136622	189
carbazepine	2554	191.5
2-(4-morpholinyl)-5-(trifluoromethyl)aniline	136624	127
2-O-Acetyl-3-O-bromo-D-glucose	101776	89.5
"2,4,5-triphenyl-4,5-dihydro-1h-imidazole"	101777	134.5
2-phenylpiperazine	250673	85
landrin	17592	99.45
"2,3-diaminotoluene"	17593	63.5
5-nitrothiophene-2-carboxaldehyde	78281	74
"cyclopropane, 1-ethyl-1-methyl-"	93290	-130.2
"6H-benzo[b]quinolizin-6-one, 1,2,3,4,11,11a-hexahydro-"	2752792	97
methyl_2-acetoxybenzoate	68484	52
"N,N'-(4,6-dinitrobenzene-1,3-diyl)bis(N-phenylacetamide)"	2748931	233
phenyl phosphorodiamidate	81954	183
3-fluoranthenamine	17599	116
"5,6-diazaphenanthrene"	9190	158
benzo(h)quinoline	9191	52
tribenzylamine	24321	93
"3,3'-bipyridine"	68487	68
boc-glycine	78288	87.5
"(4E)-2-phenyl-4-(pyridin-3-ylhydrazono)-5-(trifluoromethyl)-2,4-dihydro-3H-pyrazol-3-one"	6813753	161
"2,2'-[(4,6-dinitrobenzene-1,3-diyl)bis(oxy)]diethanol"	2748935	136
(4-pyridyl)-2-pyridine	68488	61.5
hexamethylphosphorous triamide	15355	-44
"benzoxazole, 2-methyl-5-phenyl-"	112786	63
11h-benzo(a)fluorene	9195	189.5
"2,3-butanediol (meso)"	262	33
"1,2,3,7-tetrachlorodibenzodioxin"	48889	172
(1r)-(-)-fenchone	14525	5
"N,N'-[4,6-bis(2-hydroxyethoxy)benzene-1,3-diyl]diacetamide"	2748938	206
2-methyl-1-dodecene	519267	-31
2-bromo-3'-nitroacetophenone	75213	94
1-Iodobutane	10962	-103
"benzo(b)naphtho(2,1-d)thiophene"	9198	189
malonaldehyde	10964	72
methyl 2-(17-hydroxyandrost-2-en-3-yl)-2-methylpropanoate	4308082	150
ethyl_4-phenylbenzoate	238201	49
"4-imidazolidinone, 5,5-diphenyl-"	18622	183
4-benzyloxycarbonyl-2-piperazinone	736777	120
"phenol, 3-pentadecyl-"	68146	53.5
carbenoxolone	2561	292.5
Loteprednol	444025	222
"2',4'-dichloroacetanilide"	81459	147
carbidopa	2563	208
1-naphthyl-n-methylcarbamate	6129	145
carbofuran	2566	151
methyl_p-vinylbenzoate	583124	36
"benzene, 1,2-bis(chloromethyl)-"	11919	55
2-acetylphenol	68490	5
triethyl methanetricarboxylate	80471	28
"2,7-diacetoxynaphthalene"	790833	131
pentachlorodibenzo-p-dioxin	48890	220
N-boc-o-benzyl-D-serine	2733693	62
"tetraethyl 2,2'-[benzene-1,3-diyldi(E)ethene-2,1-diyl]dipropanedioate"	2749385	101
"1,2,3,4-tetrachloro-6-(dibromomethyl)-5-nitroanthracene-9,10-dione"	2748942	247
"3,4-dihydroxyacetophenone"	14530	115.5
n-m-tolyl-benzamide	68496	125
"5,6,7,8-tetrachloro-9,10-dioxo-9,10-dihydroanthracene-2-carbaldehyde"	2748943	183
2-ethoxy-naphthalene-1-carbaldehyde	88099	115
n-p-tolyl-benzamide	68497	158
4'-fluorobutyrophenone	68498	37
"(1Z,3Z)-3-(hydroxyimino)-1-(2-nitrophenyl)-2,3-diphenylprop-1-en-1-ol"	4026111	164
"1,2,3,4-tetrachloro-6-methyl-5-nitroanthracene-9,10-dione"	2748946	262
"3,5,4'-tricl salicylanilide"	70853	142.5
"dimethyl 3,3'-benzene-1,3-diylbis(2,3-dichloropropanoate)"	2749407	131
1-nitro-2-[(E)-2-(4-nitrophenyl)ethenyl]benzene	2750223	139
chartreusin	5351130	185
"4-hydroxy-3,5-dimethylbenzaldehyde"	75222	114
"2',4',6'-triisopropylacetophenone"	75224	87
3-nitro-4-[(E)-2-(4-nitrophenyl)ethenyl]aniline	2750226	202
"1,2-bis(2-nitrophenyl)ethanone"	2750227	166
"2,2-bis(hydroxymethyl)-2,2',2''-nitrilotriethanol"	81462	104
cordycepin	248010	225.5
1-Vinylazepan-2-one	75227	34
"N,N'-(ethane-1,2-diyldibenzene-2,1-diyl)diacetamide"	2750229	250
1-chloropentane	10977	-99
hc blue no. 2	36383	95.5
1-acenaphthenone	75229	121
"ethyl 3,12-bis(acetyloxy)-6-bromo-7-hydroxycholan-24-oate"	3877731	166
2-(1-piperidinyl)aniline	458795	46
2-nitrobenzhydrazide	3781218	121
N-benzyloxycarbonyl-l-valine	726987	60
L-Methionine	6137	277.5
4-chloro-3-iodophenol	22928729	76
Mimosine	440473	228
carisoprodol	2576	92
carmofur	2577	110.5
"1,3-bis(2-chloroet)-1-nitrosourea"	2578	31
"methyl 3,5-dibromobenzoate"	621923	63
4'-fluoro-2'-methoxyacetophenone	142887	52
"2,3-naphthalenediol, 6-ethyl-"	15086363	149
"3,5-dibromo-4-hydroxybenzaldehyde"	18100	182
"benzene, 1,1'-(1,2-ethanediyl)bis[4-methyl-"	10854	85
"5,6,7,8-tetrachloro-1-nitro-9,10-dioxo-9,10-dihydroanthracene-2-carbaldehyde"	2748953	267
2-bromo-1-butene	89990	-133
4-chloro-3-nitro-2-pyridone	519282	223
N-(2-{(E)-2-[4-(acetylamino)phenyl]ethenyl}phenyl)acetamide	2750233	241
"4,6-dimethoxy-2-(methylsulfonyl)pyrimidine"	838363	131
N-{3-nitro-4-[(E)-2-(4-nitrophenyl)ethenyl]phenyl}acetamide	2750234	236
"1,4-dioxane-2,5-dione"	65432	82
n-2-pyridinyl-2-pyridinamine	14547	90.5
benmoxine	71671	93.5
Ethyl-5-amino-1H-pyrazol-4-carboxylat	81472	103
"Ethyl 2-hydroxy-6-methyl-4-(4-nitrophenyl)-1,4-dihydropyrimidine-5-carboxylate"	603061	208
OSM-S-34	2781522	86
"1,5-cyclocholestan-2-one"	5115921	164
"ethyl 2,4-dihydroxy-6-methylnicotinate"	54676534	212
buramate	20787	40
diisopentylamine	10988	-44
phenylurea	6145	147
carprofen	2581	197.5
"methyl 2-amino-7-methyl-4-(3-nitrophenyl)-5-oxo-6-(2-phenylethyl)-5,6-dihydro-4H-pyrano[3,2-c]pyridine-3-carboxylate"	2754033	216
2-(2-thienyl)piperazine	2771726	83
"benzoylhydrazine, o-chloro"	79883	119
n-methyl-2-phenyl succinimide	6839	72
"1-(4-nitro),2-dibenzoyl-1-tert-butylhydrazine"	12420210	250.5
"3,5-dimethyl-biphenyl"	86927	22.5
kaempferol	5280863	277
carvedilol	2585	114.5
triadimenol (diastereoisomer a)	41368	138.2
methyl 4-amino-3-hydroxybenzoate	7020619	120
"benzene, 1,1'-(1-propene-1,3-diyl)bis-"	99034	155
3-amino-5-phenyl-1h-pyrazole	136655	126
"1,2,3-thiadiazole-4-carboxaldehyde"	2737271	85
4-amino-5-bromo-2-chloropyridine	37030051	128
3-fluoro-2-methylaniline	285553	7
"ethanamine, 2,2-diethoxy-"	69524	-78
methyl 3-methoxy-4-nitrobenzoate	287308	85
propionylpromazine	24352	69.5
2-amino-4-tert-butylthiazole	2734202	101
1-naphthylhydrazine	75240	117
ethyl 4-nitrophenylacetate	79517	64
L-methioninol	2724404	32
1-chlorohexane	10992	-94
3-(phenylsulfonyl)thiophene	519297	116
(3E)-Hex-3-en-1-ol	10993	-61.5
"(4,7,7-trimethyl-3-oxobicyclo[2.2.1]hept-2-yl)methyl formate"	2750185	74
1-naphthalenecarboxamide	75244	205.8
"N,N'-(1,9-diacetyl-3,7-diphenylpyrido[3,2-g]quinoline-2,8(1H,9H)-diylidene)diacetamide"	2750247	239
naphthalene-2-carboxamide	75245	195
fenozolone	71682	148
"3,7-diphenylpyrido[3,2-g]quinoline-2,8-diamine"	2750248	301
"2,4,6-trimethylquinoline"	75247	68
exifone	40399	270
"(3Z)-1,7,7-trimethyl-3-{[{[(4-nitrophenyl)carbonyl]oxy}(phenyl)amino]methylidene}bicyclo[2.2.1]heptan-2-one"	4263244	180
mebutamate	6151	77
morazone	39609	149.5
Methanedienone	522463	163
"4-benzylidene-2-phenyl-1,3-oxazol-5(4H)-one"	136663	167
"1h-imidazo[4,5-b]pyridine, 2-[2-methoxy-4-(methy"	5353	204
ethyl 3-(4-methoxybenzoyl)propionate	585132	51
methyl 6-bromo-2-naphthoate	854134	122
"2h-indol-2-one, 1,3-dihydro-3,3-dimethyl-"	313100	154.3
"hexane, tridecafluoro-6-iodo-"	67733	-46
5-iodo-3-methyl-2-methylaminopyridine	37030063	72
D-fructose	439709	108
Camptothecin	24360	276
trimethyl borate	8470	-34
"9h-pyrido[3,4-b]indole-, 7-methoxy-1-methyl-"	5280953	273
4-bromo-2-nitrophenol	24364	92
"24nh2pyrimidine,5(35-meo-4-oetome)benzyl"	65450	154
"2,2,2-trifluoro-n-(2-pyridylmethyl)acetamide"	4159002	75
"2-dicyclohexylphosphino-2'-(n,n-dimethylamino)biphenyl"	2734217	123
"2(1h)-pyrimidinone, tetrahydro-"	74615	265
"(3S,4R)-4-(4-fluorophenyl)-1-methyl-3-piperidinemethanol"	2734218	96
2-fluoro-4-iodopyridine	7023570	58
4-[3-(trifluoromethyl)phenyl]-4-piperidinol	75255	93
fomocaine	71693	52.5
"pentanamide, n,n-dimethyl-"	80365	-51
"2-(1H-Benzimidazol-2-yl)-1H-isoindole-1,3(2H)-dione"	2755704	274
"2-(1H-pyrazol-4-yl)-1H-isoindole-1,3(2H)-dione"	2755705	260
clobuzarit	71697	154.5
"2-naphthalenol, 5-amino-"	6865	190.6
Deoxycorticosterone	6166	142
colchicine	6167	146
dodemorph	61899	71
1-(p-toluenesulfonyl)pyrrole	640087	101
4-(2-chlorophenyl)-3-thiosemicarbazide	717704	138
4-methoxy-3-nitrobenzotrifluoride	96748	48
2-bromo-4'-fluoroacetophenone	96749	47
diethyl formamidomalonate	80617	53
"benzene, 2-ethenyl-1,3,5-trimethyl-"	13036	-37
"n(2,4-no2-6-cf3 ph)-2(3,5cl)pyridinamine"	12901603	105
dichlorophenylborane	136678	7
"1,10-phenanthroline, 2,9-dimethyl-"	65237	159.5
"dibenzofuran, 1,3,4,6-tetrachloro-"	55108	177
"methyl 4-(1-methylcyclohepta-2,4,6-trien-1-yl)benzoate"	2755618	61
2-bromo-3'-(trifluoromethyl)acetophenone	2778386	22
1-(4-fluorophenyl)piperazine	75260	32
4-bromo-3-(trifluoromethyl)benzenesulfonamide	2778389	187
methyl 4-iodo-3-methylbenzoate	231757	61
phenyltrimethoxysilane	18137	-25
"1,2,3-hexanetriol"	2724429	66
n-benzylacetamide	11500	61
4-(3-pyridyl)benzaldehyde	3693046	55
stilbene	11502	126
"2-(benzylamino)-3,5,6-trichlorocyclohexa-2,5-diene-1,4-dione"	2755717	231
Cytidine	6175	210
"2-[(3-chlorobenzyl)amino]naphthalene-1,4-dione"	2755718	191
2-bromoadamantane	522482	139
p-ethylaniline	11504	-4.8
4-methylbenzyl_alcohol	11505	61
"2-[(4-chlorobenzyl)amino]naphthalene-1,4-dione"	2755719	230
"3-chloro-4-(3-pyridyl)-1,2,5-thiadiazole"	10488164	56
"4,4'-diphenylbenzophenone"	228453	238
diethyl aminomethylenemalonate	226751	63
carboxin	21307	91.5
"2,5-bis(trimethylsilyl)thiazole"	12747840	55
"1,4-benzenedimethanol"	11506	117.5
4-acetoxybiphenyl	346066	88
3-methylhexane	11507	-119
"5,8-dichloroquinoline"	10488167	97.5
diphenhydramine	3100	168
3-hexanone	11509	-55.5
"3,3'-diaminodiphenylmethane"	146486	82
8-hydroxy-7-methoxycoumarin	146487	176
benzophenone	3102	48.5
4-bromo-3-methoxyphenol	347955	79
dipyridamole	3108	163
estramustine	18140	104.5
"beta-d-glucopyranose, pentaacetate"	79064	134
9-bromo-9-phenylfluorene	231624	97
"1,1-diphenylethanol"	69031	80
2-bromo-4-(trifluoromethyl)benzenesulfonamide	2778398	162
"ethyl 5-methyl-2-(1-methylethyl)cyclohexyl 2,4-diacetyl-3-methylpentanedioate"	2750823	155
"1,3-Difluoro-5-nitrobenzene"	75272	17
"N,N'-[(2-aminobenzene-1,4-diyl)diethane-2,1-diyl]dibenzamide"	2750274	210
"N,N'-{[2-(acetylamino)benzene-1,4-diyl]diethane-2,1-diyl}dibenzamide"	2750275	176
"2-[(3,4-dichlorobenzyl)amino]naphthalene-1,4-dione"	2755720	217
"1,2-bis(phenylsulfonyl)ethane"	69036	180
"2-[(pyridin-3-ylmethyl)amino]naphthalene-1,4-dione"	2755721	209
"2-{[4-(dimethylamino)benzyl]amino}naphthalene-1,4-dione"	2755722	166
"N,N'-{[2,5-bis(acetylamino)benzene-1,4-diyl]diethane-2,1-diyl}dibenzamide"	2750278	285
dibenzosuberone	14589	33
"3,5-diiodo-l-tyrosine"	6181	213
"2-{[2-(phenylamino)ethyl]amino}naphthalene-1,4-dione"	2755724	141
"2,3,4,5-tetrahydro-1h-1,4-benzodiazepine"	2771762	98
"2-[(4-methoxybenzyl)amino]naphthalene-1,4-dione"	2755725	164
4-methylheptane	11512	-121
"2-{[(pyridin-2-ylamino)methyl]amino}naphthalene-1,4-dione"	2755726	135
4-hydroxy-2-methylthio-6-(trifluoromethyl)pyrimidine	248062	178
4-heptanol	11513	-41.2
hexanaldehyde	6184	-56
1-(4-methoxybenzoyl)-2-(1-naphthoyl)hydrazine	96764	189
4-octanol	11515	-41
3-methylheptane	11519	-100
sebacoin	259753	42
bromodifluoromethane	62407	-145
"4,4'-dimethylbenzhydrol"	279356	71
disopyramide	3114	94.75
3-Nitrostilbene	285594	102
"1-(6-nitro-1,2-dihydroacenaphthylen-5-yl)-2-phenylethanone"	285595	189
corticosterone	439739	181
disulfiram	3117	71.5
disulfoton	3118	-25
"butanamide, n-(2-methylphenyl)-3-oxo-"	7154	105
"ethanone, 1-(2,5-dimethylphenyl)-"	75061	-18.1
1-chloro-8-nitronaphthalene	69040	95.8
thiobencarb	34192	3.3
"ethyl 4-{[5-(4-fluorophenyl)-4,6-dioxo-4,5,6,6a-tetrahydro-3aH-pyrrolo[3,4-d]isoxazol-3-yl]carbonyl}-5-methyl-1-(4-methylphenyl)-1H-pyrazole-3-carboxylate"	2753859	211
9-phenyl-acridine	69041	184
Tetraphenylphosphonium	164912	273
"N,N'-[(2,6-dinitrobenzene-1,4-diyl)diethane-2,1-diyl]dibenzamide"	2750281	217
"N,N'-{[2,6-bis(acetylamino)benzene-1,4-diyl]diethane-2,1-diyl}dibenzamide"	2750283	268
boc-alanine	85082	79.5
N-boc-L-proline	85083	134
"4-amino-1-(2-hydroxyethyl)-1H-pyrazolo[3,4-d]pyrimidin-6-ol"	2755731	308
"4,4',4''-Methanetriyltris(N,N-dimethylaniline)"	69048	179.5
"ethylamine, 2-chloro-bis-n-(4-methylphenoxyethyl"	45335	154.7
"2-(1,3-benzodioxol-5-yl)piperazine"	2771771	122
"2,3-dinitrophenol"	6191	144.5
3-heptanol	11520	-70
"1-Methyl-5-nitropyrimidine-2,4(1H,3H)-dione"	2755734	269
"cyclohexane, 1-methyl-4-(1-methylethyl)-, cis-"	7459	-89.9
benzadox	21322	140
"1h-indene, 5-hexyl-2,3-dihydro-"	583073	-34
4-bromoiodobenzene	11522	92
(2E)-2-[1-(pyridin-4-yl)ethylidene]hydrazinecarboxamide	2755736	218
"1,4-dimethylcyclohexane"	11523	-87
1-naphthalenecarboxaldehyde	6195	33.5
cis-4-methylcyclohexanol	11524	-10
4-methylcyclohexanone	11525	-40.6
"2,5-dimethylpyridine"	11526	-16
"4-{(2R)-2-[(1S,3S,5S)-3,5-Dimethyl-2-oxocyclohexyl]-2-hydroxyethyl}piperidine-2,6-dione"	6197	120
Methyl beta-D-galactopyranoside	94214	172
3-octanol	11527	-45
psoralen	6199	163.5
2-(methylsulfonyl)thiophene	707933	48
"(2-Chlorophenyl)(4,5-dimethoxy-2-nitrophenyl)methanone"	917319	122
Diuron	3120	159
"1,3-isobenzofurandione, 4,5,6,7-tetraiodo-"	69441	327.5
3-Iodo-Tyrosine	439744	205
metyrosine	3125	312.5
methyl naphthalenes (mixture of isomers)	7002	34
harmane	5281404	236.5
methyl m-hydroxybenzoate	88068	73
"2-Methyl-4-(1-naphthylmethylene)-1,3-oxazol-5(4H)-one"	364502	244
"2,2'-binaphthalene-1,1'-diol"	69054	300
"6-(diphenylmethylidene)-2,2-dimethyl-3-methylidene-5-phenylbicyclo[2.2.1]heptane"	2750293	115
"7-(diphenylmethylidene)-2,3,3-trimethyl-1-phenyltricyclo[2.2.1.0~2,6~]heptane"	2750294	164
4-formyl-2-nitrophenol	18169	141
"ethyl 4-{[5-(2,5-dichlorophenyl)-4,6-dioxo-4,5,6,6a-tetrahydro-3aH-pyrrolo[3,4-d]isoxazol-3-yl]carbonyl}-5-methyl-1-(4-methylphenyl)-1H-pyrazole-3-carboxylate"	2753861	226
"2,3,6-trichloroanisole"	39656	45
oxycarboxin	21330	120
"2-[1,2-dichloro-2-(2-nitrophenyl)ethyl]pyridine"	2749506	144
"1,2,2,3-tetramethyl-N'-phenylcyclopentanecarbohydrazide"	2750299	92
4-nitro-1-(4-nitrophenyl)-3-phenyl-1H-pyrazole	2755744	231
"2-[(3,3-dimethoxypropyl)amino]naphthalene-1,4-dione"	2755745	114
"3,5-dinitro-N-(3-phenylpropyl)benzamide"	2755746	123
ethyl 2-amino-4-phenylthiophene-3-carboxylate	73242	92
trans-1-bromo-1-propene	11533	-77
"3,5-dinitro-N-(4-nitrobenzyl)benzamide"	2755747	251
"17-(1-hydroxyethyl)-5,10,17-trimethylgon-13-en-3-ol"	3878506	206
"benzene, pentafluoromethoxy-"	67849	-37
"1,2-butadiene"	11535	-136.2
"N-[4-(dimethylamino)benzyl]-3,5-dinitrobenzamide"	2755749	145
thalicarpine	609931	160.5
"benzene, 1-chloro-3-(trifluoromethyl)-"	7374	-56
4-hydroxyphenylacetamide	86986	174
2-pentanethiol	62424	-169
"10,13,17-trimethylhexadecahydrospiro[cyclopenta[a]phenanthrene-3,2'-[1,3]dioxolan]-17-ol"	3483699	193
4-phenyl-2-(2-pyridyl)thiazole	16832293	57
"(2R,3S)-3-Hydroxy-N,N-dimethyl-2,3-diphenylpropanamide"	12471161	176.35
"benzene, 1,1'-methylenebis-"	7580	25.2
2-bromo-1-indanone	137203	38
esculetin	5281416	276
"diethyl 3,4-bis(1,3-dithiolan-2-ylideneamino)thieno[2,3-b]thiophene-2,5-dicarboxylate"	2754672	198
"1,2-dimethyl-3-phenyl-1H-indole"	276307	111
4-benzyloxy-1-bromo-2-fluorobenzene	22273933	34
"2-furaldehyde, 5-hydroxymethyl-"	237332	31.5
"2,8-dimethylquinoline"	15101	27
Metoxuron	29863	127
"2-(1H-pyrazolo[3,4-b]pyridin-3-yl)-1H-isoindole-1,3(2H)-dione"	2755751	254
N-(3-Bromo-4-nitrophenyl)acetamide	2755752	145
"2,3-Dimethoxy-5-methyl-1,4-benzoquinone"	69068	58.5
2-pyridin-2-yl-3H-indol-3-one	2749516	186
(1E)-1-benzylidene-2-(3-nitrophenyl)hydrazine	2755753	196
Secobarbital	31143	100
"N-(3-bromopropyl)-3,5-dinitrobenzamide"	2755755	195
2-[2-(2-Nitro-phenyl)-vinyl]-quinoline	2749518	102
"2,2-dimethylpentane"	11542	-123.8
"1-(2-methoxyphenyl)-1,2-dihydro-4H-pyrazolo[3,4-d]pyrimidin-4-one"	2755756	271
2-methyl-2-pentanol	11543	-103
diphenyl phosphoramidate	74836	149
tert-butyldiethanolamine	62430	42
"N-(2-bromoethyl)-3,5-dinitrobenzamide"	2755758	140
ethylidene dicoumarol	54693115	178
"1-butanamine, 3-methyl-n-(3-methylbutyl)-"	10988	-44
"1,1-dimethylcyclohexane"	11549	-33
"propane, 2-(ethenyloxy)-2-methyl-"	70220	-112
octylcyclopentane	137210	-44
"1,2,4,7,8-pentachlorodibenzo-p-dioxin"	42836	206
decylcyclopentane	137211	-22
"1-benzyl-1,4,7,10-tetraazacyclododecane"	10084082	85
"phenol, 4-(2-aminopropyl)-, (.+-.)-"	3651	125.5
erythromycin ethylsuccinate [jan]	3256	222
4-methylphenyl bromomethyl ketone	69272	51
"1,2,4,7,8-pentachlorodibenzofuran"	42839	237
"1-propene, 1-chloro-, (e)-"	11536	-99
1-boc-piperazine	143452	46
umbelliferone	5281426	230.5
ethyl 5-hydroxyindole-2-carboxylate	90677	151
"2,6-dinitroaniline"	69070	141.5
methyl_2-nitrobenzoate	69072	-13
"2,6-dinitrobenzaldehyde"	69073	119
"4-methyl-2-[2-(2-nitrophenyl)ethenyl]-1,3-dithiolane"	2749521	70
"N-(2,4-dimethylbenzyl)-3,5-dinitrobenzamide"	2755760	180
2-amino-4-chlorobenzothiazole	29872	204
"(3Z)-3-{[hydroxy(phenyl)amino]methylidene}-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one"	3945246	107
"N-(4-methoxybenzyl)-3,5-dinitrobenzamide"	2755761	151
"1h-purine-2,6-dione, 3,7-dihydro-8-methoxy-1,3,7"	11286	176
"2-[(2,5-dimethylbenzyl)amino]naphthalene-1,4-dione"	2755762	164
vinclozolin	39676	108
"2-{[(5-methylpyridin-2-yl)methyl]amino}naphthalene-1,4-dione"	2755763	135
"benzene, (dichlorofluoromethyl)-"	68136	-26.8
1-methylcyclohexanol	11550	25
"2,2-dimethylhexane"	11551	-121.1
"(1R,2S,5R,6S)-9-oxatricyclo[4.2.1.1~2,5~]dec-7-en-10-ol"	13947171	122
3-acetylthiophene	15116	60
3-methyl-1-butanal	11552	-51
2-[(E)-1-chloro-2-(2-nitrophenyl)ethenyl]pyridine	2749529	61
5-indanol	15118	58
isopropyl (1-(4-nitro)phenylsulfonyl) cyclohepta	86463	83.5
"1,4-bis(glycidyloxy)benzene"	62443	111
"3,5-dibromo-4-methylpyridine"	819338	106
"bicyclo 3.1.1 hept-3-en-2-ol, 4,6,6-trimethyl-,"	61126	24
alpha-angelicalactone	11559	18
bromadiolone	54715952	205
domperidone	3151	242.5
(2E)-3-(4-Chlorophenyl)-1-(4-methoxyphenyl)-2-propen-1-one	5302715	130
Donepezil	3152	206.72
Dorzolamide	3154	284
(3-chloropropyl)trimethoxysilane	62449	-50
"(4Z)-4-{4-[(E)-(5-oxo-2-phenyl-1,3-oxazol-4(5H)-ylidene)methyl]benzylidene}-2-phenyl-1,3-oxazol-5(4H)-one"	117622	271
"naphthalene-1,3-diol"	8601	123.5
Doxazosin	3157	289.5
Doxepin	3158	185
"5-(3,4-dimethoxybenzylidene)hexahydropyrimidine-2,4,6-trione"	313644	265
doxifluridine	3159	190
trichloroethoxysilane	137229	-135
captan	8606	178
allopregnan-3b-ol-20-one	262961	194.5
